name_channel,name_url,Total followers,Total views,Hours streamed,Hours watched,Average viewers,Peak viewers,Days of activity
tommyinnit,https://twitchtracker.com/tommyinnit/statistics,5949241,52862467,1218,36438232,29918,650237,630
LCK_Korea,https://twitchtracker.com/lck_korea/statistics,961144,291685591,3382,127310973,37639,365983,556
Nintendo,https://twitchtracker.com/nintendo/statistics,568111,31866842,191,5210732,27305,263863,73
GamesDoneQuick,https://twitchtracker.com/gamesdonequick/statistics,1845461,367183562,5164,188180041,36442,247432,833
winstrike_tv,https://twitchtracker.com/winstrike_tv/statistics,409421,31152350,931,16067317,17255,235473,100
LEC,https://twitchtracker.com/lec/statistics,1448727,119789782,2215,85250059,38487,400312,298
CriticalRole,https://twitchtracker.com/criticalrole/statistics,793304,25451970,1396,27899352,19979,116327,372
AustinShow,https://twitchtracker.com/austinshow/statistics,1500011,39279918,2620,29378771,11215,186197,828
karlnetwork,https://twitchtracker.com/karlnetwork/statistics,709311,2686108,72,2994241,41732,93412,27
LyonWGFLive,https://twitchtracker.com/lyonwgflive/statistics,543769,8730688,279,13928145,49960,76770,142
TubboLIVE,https://twitchtracker.com/tubbolive/statistics,1578549,10371669,314,9274259,29526,92560,75
loud_coringa,https://twitchtracker.com/loud_coringa/statistics,2096550,24352817,1165,56154048,48217,307450,213
BLASTPremier,https://twitchtracker.com/blastpremier/statistics,984468,78702687,1270,41810663,32926,208744,159
E3,https://twitchtracker.com/e3/statistics,301580,7042714,33,3318104,99693,271916,5
ibai,https://twitchtracker.com/ibai/statistics,6776003,224649662,2943,124947672,42460,1538645,743
xQcOW,https://twitchtracker.com/xqcow/statistics,5953689,384392282,14730,417783187,28363,222720,1607
VALORANT_Esports_TR,https://twitchtracker.com/valorant_esports_tr/statistics,335880,14133833,302,6219230,20584,163677,48
MontanaBlack88,https://twitchtracker.com/montanablack88/statistics,3934482,115390742,4201,106094143,25253,194927,887
Evelone192,https://twitchtracker.com/evelone192/statistics,1481785,78808687,6618,38368353,5797,108037,1305
FaZeBanks,https://twitchtracker.com/fazebanks/statistics,138497,329979,11,349868,30601,49921,5
LITkillah,https://twitchtracker.com/litkillah/statistics,1836627,15736714,821,11275364,13734,103784,189
dota2mc_ru,https://twitchtracker.com/dota2mc_ru/statistics,650926,170972127,5990,102906839,17181,238996,422
juansguarnizo,https://twitchtracker.com/juansguarnizo/statistics,4442910,87284761,6679,75435087,11294,140500,1363
HasanAbi,https://twitchtracker.com/hasanabi/statistics,1368305,74209640,8655,106723257,12332,226974,1128
Trainwreckstv,https://twitchtracker.com/trainwreckstv/statistics,1456077,55515981,8365,61671627,7373,82731,1237
Rainbow6,https://twitchtracker.com/rainbow6/statistics,2046385,88770449,4738,76107765,16062,191703,728
Brawlhalla,https://twitchtracker.com/brawlhalla/statistics,1228211,22236198,2326,22142445,9521,162409,873
LCK,https://twitchtracker.com/lck/statistics,1190526,119180339,3072,84419962,27482,212049,508
BadBoyHalo,https://twitchtracker.com/badboyhalo/statistics,2065890,7629306,249,6157004,24770,187142,80
OMofficial,https://twitchtracker.com/omofficial/statistics,135397,4763456,224,978896,4372,98700,128
Sykkuno,https://twitchtracker.com/sykkuno/statistics,3558975,70684061,3445,63461915,18420,104187,707
sapnapalt,https://twitchtracker.com/sapnapalt/statistics,815162,3010785,113,3274801,29066,75655,42
ludwig,https://twitchtracker.com/ludwig/statistics,2818812,83383557,5515,67925032,12316,165293,959
ESL_Dota2b,https://twitchtracker.com/esl_dota2b/statistics,80208,4557103,511,1773443,3473,69232,73
Hiko,https://twitchtracker.com/hiko/statistics,1508013,58749562,2986,27726989,9285,41689,637
Netflix,https://twitchtracker.com/netflix/statistics,31354,7228224,62,364345,5896,51189,19
Fundy,https://twitchtracker.com/fundy/statistics,1881087,12873370,748,7523029,10061,145849,272
MOONMOON,https://twitchtracker.com/moonmoon/statistics,1086096,91308181,10351,117694874,11371,42066,1603
JLTomy,https://twitchtracker.com/jltomy/statistics,691022,33723660,5942,45653010,7684,63473,1083
fps_shaka,https://twitchtracker.com/fps_shaka/statistics,575183,87713955,13053,85626732,6560,73274,1475
buster,https://twitchtracker.com/buster/statistics,1917325,83988286,2317,31318371,13515,119019,758
Rekkles,https://twitchtracker.com/rekkles/statistics,967974,32611907,693,8026607,11580,63972,141
ESL_CSGOb,https://twitchtracker.com/esl_csgob/statistics,747595,50033232,3058,19297343,6311,119288,458
BoweryPresents,https://twitchtracker.com/bowerypresents/statistics,5985,7028354,24,310252,12768,28644,30
michaelreeves,https://twitchtracker.com/michaelreeves/statistics,1347075,6702664,320,4761120,14869,33410,53
Clix,https://twitchtracker.com/clix/statistics,4012260,96201888,3263,52085050,15962,101555,821
limit_maximum,https://twitchtracker.com/limit_maximum/statistics,302238,24162503,5159,20555967,3985,161544,920
Swagg,https://twitchtracker.com/swagg/statistics,1762232,34297067,3974,45158152,11365,90947,684
DisguisedToast,https://twitchtracker.com/disguisedtoast/statistics,1980541,74456461,6426,62142389,9671,53075,1048
relaxing234,https://twitchtracker.com/relaxing234/statistics,352881,39611764,2946,22584659,7666,21140,607
Indiefoxx,https://twitchtracker.com/indiefoxx/statistics,2032616,45363913,3849,6607542,1717,31503,920
elxokas,https://twitchtracker.com/elxokas/statistics,958626,31144548,4986,14971637,3003,80237,1014
Unboxholics,https://twitchtracker.com/unboxholics/statistics,338193,10554850,738,7685716,10410,43582,350
울프,https://twitchtracker.com/lol_woolf/statistics,348180,19920788,2465,17077371,6927,73800,477
Warframe,https://twitchtracker.com/warframe/statistics,1372014,31861697,1013,15457755,15261,349477,897
TSM_ImperialHal,https://twitchtracker.com/tsm_imperialhal/statistics,932743,38192984,5089,33268157,6537,89208,861
valorantesports2,https://twitchtracker.com/valorantesports2/statistics,232262,8731037,313,2890860,9242,47459,46
Foolish__Gamers,https://twitchtracker.com/foolish__gamers/statistics,1308779,14933449,1345,12099671,8997,133517,365
YoDa,https://twitchtracker.com/yoda/statistics,2095782,221759385,8890,126908880,14275,132814,1214
Gorgc,https://twitchtracker.com/gorgc/statistics,473801,64568128,8709,63652995,7309,55738,1375
Flight23white,https://twitchtracker.com/flight23white/statistics,1691432,11565742,1503,10992655,7311,106892,430
Amar,https://twitchtracker.com/amar/statistics,1100560,43279434,6868,30584144,4453,185345,1103
Papaplatte,https://twitchtracker.com/papaplatte/statistics,1496951,80823894,8934,58208227,6515,66453,1210
zackrawrr,https://twitchtracker.com/zackrawrr/statistics,469691,9258499,907,6455894,7122,40857,204
moistcr1tikal,https://twitchtracker.com/moistcr1tikal/statistics,2884515,39585449,5363,31288831,5834,59872,1019
らっだぁ,https://twitchtracker.com/raderaderader/statistics,211796,5165529,2118,7593772,3585,27085,819
BruceDropEmOff,https://twitchtracker.com/brucedropemoff/statistics,270536,4064433,4303,8004776,1860,16080,761
ElSpreen,https://twitchtracker.com/elspreen/statistics,1138073,9181969,1170,4943154,4224,25214,356
Jankos,https://twitchtracker.com/jankos/statistics,996708,47307727,3607,21419135,5939,42426,789
Quin69,https://twitchtracker.com/quin69/statistics,608055,96553001,14340,85465438,5960,44153,1599
richwcampbell,https://twitchtracker.com/richwcampbell/statistics,258368,8617293,3261,5580637,1711,61515,650
LLA,https://twitchtracker.com/lla/statistics,367518,22937372,2993,13097642,4376,69790,395
Punz,https://twitchtracker.com/punz/statistics,1128035,12779289,2920,11195097,3834,61243,723
ScreaM,https://twitchtracker.com/scream/statistics,1252967,28012973,1070,5181947,4843,27007,285
ClintStevens,https://twitchtracker.com/clintstevens/statistics,488418,17391374,4763,19270596,4046,19409,835
DrLupo,https://twitchtracker.com/drlupo/statistics,4470345,169036082,13307,97449988,7323,167580,1562
ZeratoR,https://twitchtracker.com/zerator/statistics,1105512,126076785,5881,63505644,10799,318182,1193
ImKaiCenat,https://twitchtracker.com/imkaicenat/statistics,324118,1656657,369,2142544,5804,25667,84
TwitchSports,https://twitchtracker.com/twitchsports/statistics,34642,72689041,1937,3471792,1793,75394,244
CapcomFighters,https://twitchtracker.com/capcomfighters/statistics,369555,122228546,2844,25690777,9033,108815,600
Zerkaa,https://twitchtracker.com/zerkaa/statistics,953595,20393311,2036,8053765,3955,17641,505
MYM_ALKAPONE,https://twitchtracker.com/mym_alkapone/statistics,970434,54791124,7151,44579223,6234,39163,1161
PRINCE__OFF,https://twitchtracker.com/prince__off/statistics,602844,5412434,1324,4352907,3287,33211,348
PurpleBixi,https://twitchtracker.com/purplebixi/statistics,212040,12473669,2615,5529056,2114,33005,631
Kareykadasha,https://twitchtracker.com/kareykadasha/statistics,397512,2745277,194,611271,3151,21170,70
Purpled,https://twitchtracker.com/purpled/statistics,934449,3358410,355,2008987,5666,80999,160
Kyle,https://twitchtracker.com/kyle/statistics,360436,20494749,9619,27927190,2903,28896,1225
TwitchPresentsKR,https://twitchtracker.com/twitchpresentskr/statistics,50330,11889067,514,1429187,2783,13312,31
heybigmike,https://twitchtracker.com/heybigmike/statistics,262977,1002642,191,564713,2952,30636,59
WankilStudio,https://twitchtracker.com/wankilstudio/statistics,899355,22394016,1180,10364987,8781,32755,380
nl_Kripp,https://twitchtracker.com/nl_kripp/statistics,1389849,256925152,10444,116710056,11175,97333,1659
Ponce,https://twitchtracker.com/ponce/statistics,563722,42443106,6579,26153268,3975,48193,1002
AnthonyZ,https://twitchtracker.com/anthonyz/statistics,396363,19523952,8487,17091768,2014,32911,1194
lilypichu,https://twitchtracker.com/lilypichu/statistics,2187335,58544563,3994,26468848,6628,88174,1053
Mongraal,https://twitchtracker.com/mongraal/statistics,4578337,73834748,2130,27268914,12802,127720,543
Stray228,https://twitchtracker.com/stray228/statistics,971644,105247887,7834,71814980,9167,44560,1275
itsRyanHiga,https://twitchtracker.com/itsryanhiga/statistics,646327,12376772,2462,9311634,3783,48953,421
おにや,https://twitchtracker.com/oniyadayo/statistics,74330,959935,205,1254611,6110,15267,54
슈카월드,https://twitchtracker.com/torona1/statistics,77117,1506847,750,1084655,1447,23951,259
RRaenee,https://twitchtracker.com/rraenee/statistics,248413,7474063,1139,4318487,3792,22205,281
Tectone,https://twitchtracker.com/tectone/statistics,389590,6726924,2255,5870046,2603,42201,575
pqueen,https://twitchtracker.com/pqueen/statistics,1595018,38974725,4983,16897706,3391,362223,1099
Tumblurr,https://twitchtracker.com/tumblurr/statistics,687229,15374094,3227,20044894,6212,32221,716
양띵,https://twitchtracker.com/yd0821/statistics,309617,12355759,2761,19205074,6957,38412,664
unsympathisch_tv,https://twitchtracker.com/unsympathisch_tv/statistics,863571,10747842,1547,6335444,4096,37982,424
LosPollosTV,https://twitchtracker.com/lospollostv/statistics,592788,19631974,5550,23889268,4304,57589,1099
starsmitten,https://twitchtracker.com/starsmitten/statistics,241986,6242725,3083,3449348,1119,48040,664
악어,https://twitchtracker.com/jdm2088/statistics,325090,14939931,1877,20531501,10939,65818,377
JLBichouu,https://twitchtracker.com/jlbichouu/statistics,428524,11943891,3818,10607726,2778,34148,788
AsunaWEEB,https://twitchtracker.com/asunaweeb/statistics,319863,7021946,831,3036023,3651,14363,222
chowh1,https://twitchtracker.com/chowh1/statistics,341667,17390002,9593,15716165,1638,34081,1366
MrSavage,https://twitchtracker.com/mrsavage/statistics,2287232,31777137,2215,11681718,5273,88531,514
ZanoXVII,https://twitchtracker.com/zanoxvii/statistics,1179861,22552051,4575,35815554,7828,158760,966
GingiTV,https://twitchtracker.com/gingitv/statistics,248948,25227728,5986,14822225,2476,68237,826
Alexclick,https://twitchtracker.com/alexclick/statistics,149179,10843738,4427,6677013,1508,30119,803
